wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_a_mod_clip, d_b_mod_clip, d_c_mod_clip, d_zero, c, dominant_phase_idx
3.664720143161451116e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.174040727217507296e+00,2.349999739020145029e+00,-1.175959011802637066e+00,-2.524040466237652325e+00,1.000000000000000000e+00,-2.525958750822781873e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.349999739020145029e+00,3.303330333033329680e-01,1.000000000000000000e+00
3.665348524530305685e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.175319699609160828e+00,2.349999971002238119e+00,-1.174680271393076181e+00,-2.525319670611398948e+00,1.000000000000000000e+00,-2.524680242395314522e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.349999971002238119e+00,3.343334333433354288e-01,1.000000000000000000e+00
3.748923246588000247e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.341092001605828532e+00,2.341766866643708589e+00,-1.000674865037879169e+00,-2.682858868249537121e+00,1.000000000000000000e+00,-2.342441731681587758e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.341766866643708589e+00,8.663866386638687800e-01,1.000000000000000000e+00
3.749551627956854816e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.342304361752213460e+00,2.341642902285757888e+00,-9.993385405335436511e-01,-2.683947264037971348e+00,1.000000000000000000e+00,-2.340981442819301428e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.341642902285757888e+00,8.703870387038712408e-01,1.000000000000000000e+00
3.769659831760209912e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.380817430324562833e+00,2.337188123001686879e+00,-9.563706926771230465e-01,-2.718005553326249490e+00,1.000000000000000000e+00,-2.293558815678809815e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.337188123001686879e+00,9.983998399839961735e-01,1.000000000000000000e+00
4.083850516187632174e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.900886097712173761e+00,2.147041992798224275e+00,-2.461558950860493755e-01,-3.047928090510398036e+00,1.000000000000000000e+00,-1.393197887884273678e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.147041992798224275e+00,-9.985998599860010927e-01,1.000000000000000000e+00
4.188161823417535956e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-2.034420949028851400e+00,2.035897645148478041e+00,-1.476696119626087463e-03,-3.070318594177329441e+00,1.000000000000000000e+00,-1.037374341268104239e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,1.035897645148478041e+00,-3.373337333733346100e-01,1.000000000000000000e+00
4.188790204786391413e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.035159698893431290e+00,2.035159698893429958e+00,2.087219286295294375e-15,-1.000000000000000000e+00,3.070319397786861249e+00,1.035159698893433289e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.035159698893431290e+00,-3.333333333333285964e-01,0.000000000000000000e+00
4.398041200615054436e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.234845876313409807e+00,1.746686739629275120e+00,4.881591366841354640e-01,-1.000000000000000000e+00,2.981532615942684927e+00,1.723005012997545382e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.234845876313409807e+00,9.987998799880024592e-01,0.000000000000000000e+00
4.628028781615927123e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.341642902285757888e+00,1.342304361752213016e+00,9.993385405335455385e-01,-1.000000000000000000e+00,2.683947264037970903e+00,2.340981442819303204e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.341642902285757888e+00,-4.629462946294644610e-01,0.000000000000000000e+00
