wt, sa, sb, sc, d_a, d_b, d_c, d_a_mod, d_b_mod, d_c_mod, d_zero, c
3.429705511209739210e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.841433743686835878e-01,9.724010839310688326e-01,-6.882577095623848562e-01,-4.262150615530255759e-01,8.303293967467268999e-01,-8.303293967467268999e-01,1.420716871843419882e-01,-8.341834183418335158e-01
3.455469147332788094e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-3.087480502360596124e-01,9.780887701035579918e-01,-6.693407198674979908e-01,-4.631220753540896129e-01,8.237147449855279913e-01,-8.237147449855279913e-01,1.543740251180300005e-01,-9.981998199819983597e-01
3.484374690300110711e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-3.361085762969707735e-01,9.836971442471075244e-01,-6.475885679501363068e-01,-5.041628644454563268e-01,8.156428560986219711e-01,-8.156428560986219711e-01,1.680542881484856088e-01,-8.177817781778173867e-01
3.485003071668965724e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-3.367003340795317046e-01,9.838099537693438812e-01,-6.471096196898117325e-01,-5.050505011192978344e-01,8.154597867295778624e-01,-8.154597867295778624e-01,1.683501670397660743e-01,-8.137813781378113731e-01
3.524591097906820902e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-3.737033470292525084e-01,9.901320456851098184e-01,-6.164286986558569215e-01,-5.605550205438789568e-01,8.032803721704833144e-01,-8.032803721704833144e-01,1.868516735146264485e-01,-5.617561756175604160e-01
3.525219479275675472e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-3.742861272668008832e-01,9.902199100196694692e-01,-6.159337827528682530e-01,-5.614291909002014913e-01,8.030768463862688611e-01,-8.030768463862688611e-01,1.871430636334006081e-01,-5.577557755775579551e-01
3.735098856473193507e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-5.592710437512796728e-01,9.975574707781759143e-01,-4.382864270268957974e-01,-7.784142572647277936e-01,7.784142572647277936e-01,-6.574296405403439181e-01,2.191432135134481207e-01,7.783778377837791140e-01
3.735727237842048520e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-5.597918519408998650e-01,9.975133810782763621e-01,-4.377215291373760531e-01,-7.786526165095881691e-01,7.786526165095881691e-01,-6.565822937060643572e-01,2.188607645686882486e-01,7.823782378237815749e-01
3.769659831760209912e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-5.875818852444948392e-01,9.945481374475263481e-01,-4.069662522030310647e-01,-7.910650113460105937e-01,7.910650113460105937e-01,-6.104493783045468192e-01,2.034831261015157544e-01,9.983998399839961735e-01
3.800450518834097569e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-6.122141746884987024e-01,9.908664269905664845e-01,-3.786522523020673936e-01,-8.015403008395325379e-01,8.015403008395325379e-01,-5.679783784531012847e-01,1.893261261510338911e-01,8.055805580558015322e-01
3.801078900202952138e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-6.127109098929692799e-01,9.907814960010292715e-01,-3.780705861080596031e-01,-8.017462029469992757e-01,8.017462029469992757e-01,-5.671058791620895434e-01,1.890352930540299958e-01,8.015801580158026240e-01
3.976397302113453769e+00,-1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-7.411653820323906849e-01,9.519650156164407573e-01,-2.107996335840497393e-01,-8.465651988244157211e-01,8.465651988244157211e-01,-3.161994503760747754e-01,1.053998167920250362e-01,-3.145314531453173856e-01
3.977025683482308782e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-7.415870822161357845e-01,9.517724130282252393e-01,-2.101853308120890662e-01,-8.466797476221805674e-01,8.466797476221805674e-01,-3.152779962181337936e-01,1.050926654060447274e-01,-3.185318531853198465e-01
4.061857168277712482e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-7.957618405308320986e-01,9.223542941045812515e-01,-1.265924535737487922e-01,-8.590580673177066195e-01,8.590580673177066195e-01,-1.898886803606233686e-01,6.329622678687457649e-02,-8.585858585858581193e-01
4.062485549646567051e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-7.961422372414765913e-01,9.221113399397723454e-01,-1.259691026982953654e-01,-8.591267885906244128e-01,8.591267885906244128e-01,-1.889536540474432424e-01,6.298455134914787701e-02,-8.625862586258605802e-01
